TP-LINK_7B75BF,ANIL,Tharak,Result
75,56,72,7
72,59,71,7
74,60,75,7
74,60,71,7
72,57,61,7
74,55,68,7
77,55,66,7
86,56,68,7
73,55,71,7
70,56,70,7
74,57,70,7
71,56,73,7
69,57,69,7
71,57,69,7
73,59,67,7
76,57,69,7
73,58,67,7
74,57,68,7
76,59,70,7
74,58,74,7
74,59,69,7
73,57,72,7
74,58,71,7
73,55,71,7
72,55,72,7
72,57,74,7
73,58,75,7
71,56,77,7
71,86,77,7
71,57,75,7
72,56,72,7
73,59,72,7
76,61,68,7
74,57,68,7
75,58,67,7
71,59,71,7
73,58,69,7
72,57,63,7
72,57,65,7
72,59,68,7
72,58,65,7
72,60,68,7
73,57,70,7
74,59,75,7
72,57,72,7
73,58,67,7
73,59,73,7
72,59,77,7
71,57,71,7
70,56,68,7
73,54,67,7
72,56,68,7
71,57,71,7
71,57,66,7
72,59,65,7
71,61,69,7
72,59,70,7
73,59,70,7
72,60,66,7
73,61,65,7
73,58,65,7
73,58,66,7
73,59,65,7
74,59,66,7
72,59,65,7
76,58,66,7
74,57,68,7
72,59,68,7
73,58,65,7
72,58,64,7
73,58,67,7
72,57,71,7
73,58,72,7
72,57,69,7
71,57,73,7
71,55,71,7
71,56,71,7
72,55,71,7
72,56,70,7
72,56,72,7
71,55,68,7
74,56,69,7
73,58,68,7
72,60,69,7
70,59,68,7
72,57,70,7
72,57,70,7
71,57,71,7
71,56,67,7
71,58,69,7
77,57,72,7
71,58,70,7
70,57,73,7
70,57,71,7
71,56,68,7
71,57,69,7
72,59,70,7
75,59,69,7
75,58,70,7
71,58,74,7
