TP-LINK_7B75BF,ANIL,Tharak,Result
53,57,57,2
57,57,67,2
64,53,61,2
57,56,54,2
61,55,57,2
68,57,57,2
71,58,56,2
74,57,58,2
68,57,58,2
68,58,57,2
66,56,56,2
68,58,56,2
69,59,60,2
71,60,65,2
68,62,61,2
70,65,64,2
70,64,70,2
69,63,68,2
69,61,55,2
61,62,59,2
63,64,58,2
58,65,50,2
63,63,48,2
61,66,48,2
61,66,48,2
64,63,51,2
62,61,63,2
60,62,57,2
70,63,60,2
64,64,52,2
61,61,52,2
62,59,58,2
62,65,58,2
59,60,57,2
68,57,57,2
64,59,57,2
61,67,53,2
59,64,56,2
59,59,57,2
59,56,58,2
64,58,50,2
64,64,56,2
65,65,59,2
60,65,64,2
60,60,59,2
68,58,60,2
58,59,62,2
58,59,58,2
60,55,57,2
57,59,61,2
62,79,57,2
62,59,58,2
63,58,62,2
59,57,59,2
59,58,65,2
61,56,65,2
65,59,67,2
65,53,52,2
63,59,59,2
70,57,58,2
64,59,55,2
64,58,52,2
64,58,54,2
88,56,53,2
69,57,54,2
66,52,57,2
62,53,56,2
64,58,57,2
65,58,57,2
65,57,63,2
60,59,57,2
68,59,54,2
58,59,60,2
58,59,60,2
58,59,60,2
58,59,54,2
58,59,52,2
58,59,50,2
58,59,53,2
58,59,52,2
58,59,53,2
61,71,49,3
58,68,42,3
59,75,47,3
63,71,49,3
61,69,42,3
59,69,48,3
59,69,43,3
59,69,41,3
62,69,42,3
61,69,44,3
60,69,43,3
61,70,47,3
59,70,51,3
63,75,45,3
61,70,50,3
58,72,48,3
61,71,48,3
62,73,47,3
58,72,57,3
68,72,56,3
55,75,52,3
53,74,50,3
55,75,52,3
53,75,55,3
53,75,53,3
56,76,54,3
56,75,47,3
60,75,53,3
58,77,48,3
55,74,52,3
54,73,50,3
56,71,47,3
59,74,49,3
55,73,51,3
55,77,48,3
58,72,47,3
58,74,48,3
56,77,45,3
58,79,43,3
55,74,43,3
56,72,42,3
55,74,50,3
54,75,43,3
54,76,42,3
55,74,48,3
56,70,51,3
56,73,50,3
56,70,49,3
57,74,47,3
57,74,53,3
61,74,52,3
58,74,48,3
57,74,47,3
61,86,53,3
56,74,50,3
55,78,51,3
56,77,51,3
54,73,48,3
56,79,46,3
60,78,43,3
55,78,44,3
56,82,44,3
56,80,46,3
54,77,42,3
56,79,47,3
55,79,42,3
54,70,39,3
50,76,43,3
54,75,41,3
54,69,38,3
54,75,41,3
50,77,41,3
55,79,42,3
55,78,48,3
53,79,40,3
52,76,41,3
50,76,39,3
51,76,40,3
55,75,41,3
53,76,42,3
52,75,40,3
55,75,39,3
52,79,42,3
51,75,40,3
54,75,44,3
52,72,40,3
53,73,44,3
53,73,40,3
51,78,39,3
51,79,42,3
52,78,42,3
52,78,40,3
52,78,42,3
54,78,42,3
52,77,43,3
56,75,39,3
52,77,38,3
51,69,43,3
57,74,47,3
56,77,46,3
51,70,35,1
55,69,37,1
55,72,37,1
55,71,43,1
56,71,41,1
59,74,38,1
58,73,36,1
56,72,33,1
57,72,39,1
58,72,39,1
57,73,40,1
60,71,37,1
60,73,31,1
58,74,43,1
59,73,38,1
59,73,37,1
60,74,40,1
58,75,35,1
61,73,36,1
59,74,38,1
55,73,37,1
56,71,36,1
59,75,34,1
60,71,39,1
58,77,34,1
61,71,31,1
59,72,34,1
57,73,33,1
54,71,33,1
61,72,35,1
62,72,31,1
59,73,39,1
56,73,33,1
58,74,35,1
57,72,39,1
55,72,34,1
55,74,31,1
55,75,32,1
57,75,31,1
59,74,35,1
60,71,35,1
57,70,40,1
61,71,42,1
59,75,41,1
62,71,38,1
61,72,38,1
63,71,40,1
66,71,37,1
67,73,35,1
64,72,37,1
67,72,37,1
66,73,36,1
68,75,35,1
68,74,32,1
66,73,32,1
62,73,31,1
62,73,35,1
59,71,39,1
59,71,35,1
60,72,39,1
64,79,38,1
62,78,37,1
61,78,36,1
59,74,35,1
61,70,38,1
58,74,32,1
62,84,40,1
56,72,32,1
59,75,40,1
61,79,32,1
58,77,31,1
56,82,30,1
55,82,30,1
55,81,39,1
55,74,39,1
58,74,45,1
58,81,47,1
56,82,48,1
57,81,45,1
57,81,33,1
58,78,40,1
56,78,36,1
55,81,38,1
54,78,42,1
56,79,46,1
56,77,42,1
55,82,37,1
51,78,36,1
52,77,34,1
53,77,34,1
54,74,33,1
54,76,33,1
54,76,36,1
57,76,38,1
56,76,37,1
61,78,38,1
57,71,39,1
58,79,47,1
56,79,47,1
56,81,43,1
