TP-LINK_7B75BF,ANIL,Tharak,Result
40,71,64,4
40,67,63,4
50,74,56,4
46,69,55,4
39,70,61,4
42,64,56,4
52,72,59,4
49,68,57,4
51,70,68,4
49,75,61,4
50,75,64,4
53,69,70,4
53,76,64,4
52,76,67,4
49,77,69,4
54,78,75,4
52,78,63,4
50,73,60,4
51,73,65,4
56,76,65,4
53,76,72,4
56,73,66,4
52,75,69,4
56,73,66,4
53,73,69,4
51,78,73,4
51,68,68,4
51,71,64,4
49,69,65,4
44,69,59,4
48,65,56,4
49,65,54,4
48,65,53,4
50,65,54,4
49,64,54,4
48,63,57,4
50,76,59,4
46,76,60,4
47,75,59,4
50,76,59,4
50,77,59,4
48,76,58,4
50,77,60,4
50,76,59,4
50,76,59,4
49,77,61,4
49,77,61,4
50,76,61,4
50,75,61,4
51,75,61,4
49,77,60,4
50,78,61,4
49,77,58,4
50,69,58,4
49,69,57,4
49,69,57,4
48,69,58,4
48,71,57,4
48,70,58,4
48,70,62,4
48,70,60,4
49,70,62,4
49,70,57,4
51,70,60,4
50,70,58,4
49,72,59,4
49,72,60,4
50,73,57,4
50,73,58,4
51,72,57,4
53,72,58,4
51,72,55,4
51,73,57,4
49,73,58,4
50,74,56,4
50,69,57,4
49,69,57,4
54,71,56,4
