TP-LINK_7B75BF,ANIL,Tharak,Result
53,57,57,2
57,57,67,2
64,53,61,2
57,56,54,2
61,55,57,2
68,57,57,2
71,58,56,2
74,57,58,2
68,57,58,2
68,58,57,2
66,56,56,2
68,58,56,2
69,59,60,2
71,60,65,2
68,62,61,2
70,65,64,2
70,64,70,2
69,63,68,2
69,61,55,2
61,62,59,2
63,64,58,2
58,65,50,2
63,63,48,2
61,66,48,2
61,66,48,2
64,63,51,2
62,61,63,2
60,62,57,2
70,63,60,2
64,64,52,2
61,61,52,2
62,59,58,2
62,65,58,2
59,60,57,2
68,57,57,2
64,59,57,2
61,67,53,2
59,64,56,2
59,59,57,2
59,56,58,2
64,58,50,2
64,64,56,2
65,65,59,2
60,65,64,2
60,60,59,2
68,58,60,2
58,59,62,2
58,59,58,2
60,55,57,2
57,59,61,2
62,79,57,2
62,59,58,2
63,58,62,2
59,57,59,2
59,58,65,2
61,56,65,2
65,59,67,2
65,53,52,2
63,59,59,2
70,57,58,2
64,59,55,2
64,58,52,2
64,58,54,2
88,56,53,2
69,57,54,2
66,52,57,2
62,53,56,2
64,58,57,2
65,58,57,2
65,57,63,2
60,59,57,2
68,59,54,2
58,59,60,2
58,59,60,2
58,59,60,2
58,59,54,2
58,59,52,2
58,59,50,2
58,59,53,2
58,59,52,2
58,59,53,2
