TP-LINK_7B75BF,ANIL,Tharak,Result
53,68,51,5
57,70,50,5
56,72,50,5
54,69,51,5
53,72,51,5
53,72,52,5
55,72,52,5
61,72,50,5
54,69,50,5
52,70,49,5
53,71,50,5
52,71,50,5
49,72,50,5
52,69,49,5
47,70,52,5
50,70,51,5
51,73,49,5
57,71,49,5
59,68,49,5
60,69,51,5
55,72,50,5
53,72,51,5
52,70,51,5
48,73,52,5
52,69,49,5
53,69,50,5
52,72,54,5
51,72,49,5
53,70,50,5
53,70,53,5
51,75,51,5
52,68,49,5
52,69,51,5
51,69,50,5
53,69,50,5
53,69,49,5
49,72,50,5
48,71,48,5
48,71,50,5
51,72,50,5
52,74,51,5
52,74,51,5
52,72,52,5
50,72,50,5
50,71,50,5
52,70,50,5
54,69,50,5
51,74,50,5
49,72,51,5
48,73,54,5
48,73,52,5
48,73,50,5
50,70,53,5
49,68,51,5
51,70,52,5
51,73,50,5
52,72,50,5
52,68,51,5
52,68,50,5
53,72,51,5
50,71,49,5
53,69,54,5
52,74,51,5
58,75,52,5
50,74,49,5
48,73,53,5
50,73,53,5
50,72,52,5
50,73,49,5
50,69,55,5
51,71,52,5
48,69,52,5
48,72,52,5
49,73,52,5
54,71,53,5
51,68,52,5
52,75,51,5
52,75,51,5
48,68,50,5
51,71,49,5
54,72,52,5
50,71,52,5
49,71,52,5
49,67,51,5
49,70,50,5
52,70,48,5
49,71,54,5
51,72,53,5
50,72,54,5
51,68,53,5
51,70,51,5
50,70,52,5
49,68,52,5
52,70,50,5
47,70,51,5
49,69,51,5
50,69,52,5
51,71,50,5
47,71,49,5
