TP-LINK_7B75BF,ANIL,Tharak,Result
68,48,70,8
66,50,70,8
66,50,74,8
68,48,72,8
68,48,72,8
65,49,69,8
65,50,69,8
67,50,68,8
68,49,66,8
67,48,70,8
64,51,67,8
66,48,70,8
67,46,75,8
65,53,68,8
62,50,74,8
67,49,72,8
68,49,72,8
67,49,73,8
67,50,74,8
67,50,72,8
65,52,76,8
68,50,82,8
69,54,71,8
65,49,74,8
69,52,67,8
68,52,76,8
68,50,82,8
67,50,75,8
67,50,67,8
68,50,69,8
67,50,77,8
67,50,71,8
69,49,71,8
66,53,70,8
67,54,70,8
68,53,70,8
66,49,76,8
65,51,70,8
70,50,71,8
68,48,66,8
65,48,66,8
64,48,69,8
68,41,68,8
64,49,67,8
64,49,67,8
63,48,71,8
66,48,68,8
68,43,83,8
68,43,65,8
66,43,67,8
66,48,71,8
64,43,69,8
65,44,66,8
65,50,67,8
65,50,68,8
64,50,66,8
65,50,68,8
66,50,68,8
65,49,71,8
68,49,66,8
68,49,65,8
65,50,65,8
65,50,65,8
65,50,67,8
65,49,65,8
63,49,64,8
71,43,77,8
72,56,67,8
66,56,66,8
68,50,69,8
66,49,69,8
70,47,68,8
66,52,68,8
66,51,66,8
65,52,66,8
66,52,68,8
69,53,65,8
64,51,69,8
67,51,70,8
66,51,66,8
64,49,65,8
70,52,68,8
90,52,67,8
66,50,65,8
64,51,66,8
65,54,66,8
64,54,67,8
70,52,65,8
64,54,65,8
66,54,64,8
68,51,69,8
65,54,68,8
65,53,68,8
66,55,71,8
70,54,73,8
66,52,65,8
66,54,65,8
66,53,66,8
67,53,69,8
68,53,67,8
