TP-LINK_7B75BF,ANIL,Tharak,Result
61,71,49,3
58,68,42,3
59,75,47,3
63,71,49,3
61,69,42,3
59,69,48,3
59,69,43,3
59,69,41,3
62,69,42,3
61,69,44,3
60,69,43,3
61,70,47,3
59,70,51,3
63,75,45,3
61,70,50,3
58,72,48,3
61,71,48,3
62,73,47,3
58,72,57,3
68,72,56,3
55,75,52,3
53,74,50,3
55,75,52,3
53,75,55,3
53,75,53,3
56,76,54,3
56,75,47,3
60,75,53,3
58,77,48,3
55,74,52,3
54,73,50,3
56,71,47,3
59,74,49,3
55,73,51,3
55,77,48,3
58,72,47,3
58,74,48,3
56,77,45,3
58,79,43,3
55,74,43,3
56,72,42,3
55,74,50,3
54,75,43,3
54,76,42,3
55,74,48,3
56,70,51,3
56,73,50,3
56,70,49,3
57,74,47,3
57,74,53,3
61,74,52,3
58,74,48,3
57,74,47,3
61,86,53,3
56,74,50,3
55,78,51,3
56,77,51,3
54,73,48,3
56,79,46,3
60,78,43,3
55,78,44,3
56,82,44,3
56,80,46,3
54,77,42,3
56,79,47,3
55,79,42,3
54,70,39,3
50,76,43,3
54,75,41,3
54,69,38,3
54,75,41,3
50,77,41,3
55,79,42,3
55,78,48,3
53,79,40,3
52,76,41,3
50,76,39,3
51,76,40,3
55,75,41,3
53,76,42,3
52,75,40,3
55,75,39,3
52,79,42,3
51,75,40,3
54,75,44,3
52,72,40,3
53,73,44,3
53,73,40,3
51,78,39,3
51,79,42,3
52,78,42,3
52,78,40,3
52,78,42,3
54,78,42,3
52,77,43,3
56,75,39,3
52,77,38,3
51,69,43,3
57,74,47,3
56,77,46,3
