TP-LINK_7B75BF,ANIL,Tharak,Result
53,62,40,6
48,65,41,6
50,66,41,6
50,69,40,6
50,71,53,6
35,56,49,6
43,57,42,6
37,57,49,6
46,59,48,6
43,60,49,6
44,58,50,6
45,60,49,6
46,59,59,6
46,60,49,6
46,58,48,6
47,59,44,6
46,59,47,6
46,59,44,6
46,59,45,6
46,58,47,6
46,58,46,6
46,59,48,6
47,58,45,6
46,58,48,6
46,59,48,6
46,59,47,6
47,58,48,6
47,59,48,6
47,59,48,6
46,63,44,6
46,63,49,6
47,58,47,6
46,59,43,6
47,59,47,6
46,57,48,6
46,60,48,6
46,59,47,6
46,58,48,6
46,58,47,6
47,58,48,6
46,58,47,6
46,59,47,6
46,58,47,6
46,58,45,6
46,58,47,6
47,57,48,6
47,59,48,6
46,58,56,6
47,58,43,6
43,56,48,6
45,59,49,6
46,61,48,6
44,59,47,6
40,58,44,6
39,58,53,6
40,62,49,6
42,59,49,6
39,59,43,6
41,59,48,6
44,59,49,6
44,59,49,6
41,59,43,6
44,59,47,6
42,58,49,6
46,59,48,6
46,58,44,6
46,58,61,6
46,57,49,6
45,59,47,6
37,60,47,6
38,59,48,6
39,57,44,6
42,58,47,6
43,57,48,6
43,57,48,6
44,58,45,6
39,57,48,6
43,57,47,6
39,55,45,6
36,57,48,6
44,57,48,6
44,57,49,6
40,57,48,6
43,56,44,6
43,58,44,6
42,58,43,6
41,59,47,6
45,58,48,6
42,58,48,6
42,58,48,6
40,58,50,6
41,56,47,6
44,56,47,6
47,57,48,6
45,59,47,6
45,59,48,6
45,59,48,6
46,59,47,6
46,58,47,6
47,60,44,6
