TP-LINK_7B75BF,ANIL,Tharak,Result
51,70,35,1
55,69,37,1
55,72,37,1
55,71,43,1
56,71,41,1
59,74,38,1
58,73,36,1
56,72,33,1
57,72,39,1
58,72,39,1
57,73,40,1
60,71,37,1
60,73,31,1
58,74,43,1
59,73,38,1
59,73,37,1
60,74,40,1
58,75,35,1
61,73,36,1
59,74,38,1
55,73,37,1
56,71,36,1
59,75,34,1
60,71,39,1
58,77,34,1
61,71,31,1
59,72,34,1
57,73,33,1
54,71,33,1
61,72,35,1
62,72,31,1
59,73,39,1
56,73,33,1
58,74,35,1
57,72,39,1
55,72,34,1
55,74,31,1
55,75,32,1
57,75,31,1
59,74,35,1
60,71,35,1
57,70,40,1
61,71,42,1
59,75,41,1
62,71,38,1
61,72,38,1
63,71,40,1
66,71,37,1
67,73,35,1
64,72,37,1
67,72,37,1
66,73,36,1
68,75,35,1
68,74,32,1
66,73,32,1
62,73,31,1
62,73,35,1
59,71,39,1
59,71,35,1
60,72,39,1
64,79,38,1
62,78,37,1
61,78,36,1
59,74,35,1
61,70,38,1
58,74,32,1
62,84,40,1
56,72,32,1
59,75,40,1
61,79,32,1
58,77,31,1
56,82,30,1
55,82,30,1
55,81,39,1
55,74,39,1
58,74,45,1
58,81,47,1
56,82,48,1
57,81,45,1
57,81,33,1
58,78,40,1
56,78,36,1
55,81,38,1
54,78,42,1
56,79,46,1
56,77,42,1
55,82,37,1
51,78,36,1
52,77,34,1
53,77,34,1
54,74,33,1
54,76,33,1
54,76,36,1
57,76,38,1
56,76,37,1
61,78,38,1
57,71,39,1
58,79,47,1
56,79,47,1
56,81,43,1
